Content,Date
"Hello, So I think you should add back some movies people actually liked here so the movies are Coraline,The Lorax,Mean girls,Friday and all the other Fridays.Because I was so sad when Netflix took those movies off and I liked the old Barbie movie’s too.",2023-01-07
u finna take off home like why u doin dis thts why nobody likes u now like why yu gonna put it on here then take it off like wht thts js really really dum i js speaking facts bum take a shower bro i can smell u through the phone fattiest bum i ever seen,2023-01-07
"Netflix is new changes has been so annoying to deal with. Every night I sit down to watch on my tv it tells me my tv is not in the household. I don’t watch it anywhere else, no one else uses my account. It’s just annoying to deal with this constantly.",2023-01-04
Netflix has really gone downhill. Losing the rights to Disney movies and now I have to do a whole inconvenient process just to log in at a friends or family’s house. Not to mention their prices keep going up. Like it’s not even worth it anymore.,2023-01-07
"THIS APP DOES NOT HAVE JOAN OF ARC, I AM FEELING OFFENDED THAT THEY DONT HAVE RELIGOUS MOVIES FROM HISTORY. IF YOU LEAVE A GOOD REVIEW, GOOD FOR YOU. THIS APP ALSO SAYS THAT GINGERS DONT HAVE SOULS! US GINGERS HAVE FREAKIN’ SOULS!!!!!!!!!!!!!!",2023-01-03
I’ve never been so sad in my life taking off my girl first and now five feet apart no one needs some of these shows like no one watch’s half of those movies and you take both of the best made movies off I’ve never been so disappointed.😞,2023-01-03
make it make sense. to raise prices and then cut other households from watching. actually the most garbage and greedy industry. i'm going back to dvd's. you can actually share those. so disrespectful. i will never recommend netflix ever.,2023-01-05
Household makes no sense. You have to pay extra just for a “family” plan to do what its supposed to do. Not every family shares the same wifi 24/7. Basically they wanted to screw over half of their users just to make an extra buck.,2023-01-08
This is a really good app to watch movies and shows but the only thing you guys need to do is stop getting rid of really good movies! Why are you getting rid of them? Otherwise this is a great app to watch movies on if your bored.,2023-01-07
After being added to my mom’s account every couple of days I have to verify it through a QR code because it “forgot” I guess. Gonna tell mom to take my tv off the account because it’s honestly not worth the hassle at this point.,2023-01-05
It says my TV isn’t a part of my network and won’t work. It works on my phone. Sometimes updates make things worse and take away functionality. This is an example of that. Thanks for ruining my evening yet again! What a joke!,2023-01-03
They took the AirPlay feature off. This is so ridiculous as I travel for work and should be able to AirPlay since I can’t log in everywhere I go already. I hate this streaming service and hope it crashes and goes bankrupt,2023-01-01
THIS APP IS MY FAV BUT HERE IS SOME THINGS. PLZ ADD A TEEN SECTION BECAUSE ITS HARD FOR ME TO FIND THAT ARE FOR TEENS. And pls stop taking out good movies and put bad ones just plz read this and make this app go wild!,2023-01-05
